Pedigree	Pop	Gen
B73/PHW30-026 - (2n)-01	4	4
B73/PHW30-036 - (2n)-01	4	5
B73/PHW30-036 - (2n)-02	4	6
B73/PHW30-041 - (2n)-01	4	7
B73/PHW30-063 - (2n)-01	4	8
B73/PHW30-063 - (2n)-02	4	9
B73/PHW30-064 - (2n)-01	4	10
B73/PHW30-064 - (2n)-02	4	11
B73/PHW30-068 - (2n)-01	4	12
B73/PHW30-068 - (2n)-02	4	13
B73/PHW30-092 - (2n)-01	4	14
B73/PHW30-097 - (2n)-01	4	15
B73/PHW30-097 - (2n)-02	4	16
B73/PHW30-098 - (2n)-01	4	17
B73/PHW30-098 - (2n)-03	4	18
B73/PHW30-100 - (2n)-01	4	19
B73/PHW30-100 - (2n)-02	4	20
B73/PHW30-102 - (2n)-01	4	21
B73/PHW30-102 - (2n)-03	4	22
B73/PHW30-141 - (2n)-01	4	23
B73/PHW30-152 - (2n)-01	4	24
B73/PHW30-154 - (2n)-01	4	25
B73/PHW30-163 - (2n)-01	4	26
B73/PHW30-163 - (2n)-02	4	27
B73/PHW30-166 - (2n)-01	4	28
B73/PHW30-183 - (2n)-01	4	29
B73/PHW30-183 - (2n)-02	4	30
B73/PHW30-186 - (2n)-01	4	31
B73/PHW30-186 - (2n)-02	4	32
B73/PHW30-196 - (2n)-01	4	33
B73/PHW30-201 - (2n)-01	4	34
B73/PHW30-207 - (2n)-01	4	35
B73/PHW30-207 - (2n)-02	4	36
B73/PHW30-211 - (2n)-01	4	37
B73/PHW30-211 - (2n)-03	4	38
B73/PHW30-226 - (2n)-01	4	39
B73/PHW30-237 - (2n)-01	4	40
B73/PHW30-237 - (2n)-02	4	41
B73/PHW30-252 - (2n)-01	4	42
B73/PHW30-256 - (2n)-01	4	43
B73/PHW30-258 - (2n)-01	4	44
B73/PHW30-258 - (2n)-02	4	45
B73/PHW30-285 - (2n)-01	4	46
B73/PHW30-288 - (2n)-01	4	47
B73/PHW30-288 - (2n)-02	4	48
B73/PHW30-302 - (2n)-01	4	49
B73/PHW30-302 - (2n)-02	4	50
B73/PHW30-316 - (2n)-01	4	51
B73/PHW30-348 - (2n)-01	4	52
B73/PHW30-368 - (2n)-01	4	53
B73/PHW30-368 - (2n)-02	4	54
B73/PHW30-385 - (2n)-01	4	55
B73/PHW30-385 - (2n)-03	4	56
B73/PHW30-392 - (2n)-01	4	57
B73/PHW30-396 - (2n)-01	4	58
B73/PHW30-396 - (2n)-02	4	59
B73/PHW30-409 - (2n)-01	4	60
B73/PHW30-409 - (2n)-02	4	61
B73/PHW30-412 - (2n)-01	4	62
B73/PHW30-412 - (2n)-02	4	63
Mo17/PHW30-008 - (2n)-01	5	64
Mo17/PHW30-008 - (2n)-02	5	65
Mo17/PHW30-009 - (2n)-01	5	66
Mo17/PHW30-013 - (2n)-01	5	67
Mo17/PHW30-013 - (2n)-02	5	68
Mo17/PHW30-016 - (2n)-01	5	69
Mo17/PHW30-016 - (2n)-02	5	70
