Coded_Trait	Trait	Year	Loc	Env	Range	Pass	Pedigree	Pop	Gen
1	ULA	2016	1	2016_Loc1	1	5	Mo17/PHW30-341 - (2n)-02	5	133
1	ULA	2016	1	2016_Loc1	1	6	PHW30/Mo17-178 - (2n)-01	5	285
1	ULA	2016	1	2016_Loc1	1	8	PHW30/Mo17-266 - (2n)-01	5	301
1	ULA	2016	1	2016_Loc1	1	9	Mo17/PHW30-281 - (2n)-01	5	122
1	ULA	2016	1	2016_Loc1	1	10	Mo17/PHW30-429 - (2n)-02	5	139
1	ULA	2016	1	2016_Loc1	1	11	PHW30/Mo17-061 - (2n)-02	5	242
1	ULA	2016	1	2016_Loc1	1	12	PHW30/Mo17-037 - (2n)-02	5	230
1	ULA	2016	1	2016_Loc1	1	13	Mo17/PHW30-148 - (2n)-02	5	96
1	ULA	2016	1	2016_Loc1	1	14	B73/PHW30-092 - (2n)-01	4	14
1	ULA	2016	1	2016_Loc1	1	15	PHW30/Mo17-089 - (2n)-01	5	252
1	ULA	2016	1	2016_Loc1	1	16	Mo17/PHW30-254 - (2n)-02	5	115
1	ULA	2016	1	2016_Loc1	1	17	PHW30/B73-302 - (2n)-02	4	194
1	ULA	2016	1	2016_Loc1	1	18	Mo17/PHW30-089 - (2n)-02	5	84
1	ULA	2016	1	2016_Loc1	1	19	PHW30/Mo17-110 - (2n)-03	5	262
1	ULA	2016	1	2016_Loc1	1	20	PHW30/B73-193 - (2n)-01	4	178
1	ULA	2016	1	2016_Loc1	1	21	PHW30/B73-433 - (2n)-01	4	214
1	ULA	2016	1	2016_Loc1	1	22	PHW30/Mo17-179 - (2n)-01	5	287
1	ULA	2016	1	2016_Loc1	1	23	PHW30/Mo17-101 - (2n)-02	5	259
1	ULA	2016	1	2016_Loc1	1	25	PHW30/B73-029 - (2n)-01	4	153
1	ULA	2016	1	2016_Loc1	1	26	Mo17/PHW30-009 - (2n)-01	5	66
1	ULA	2016	1	2016_Loc1	1	27	PHW30/Mo17-278 - (2n)-02	5	303
1	ULA	2016	1	2016_Loc1	1	28	PHW30/Mo17-010 - (2n)-02	5	219
1	ULA	2016	1	2016_Loc1	1	29	Mo17/PHW30-456 - (2n)-02	5	146
1	ULA	2016	1	2016_Loc1	1	30	Mo17/PHW30-456 - (2n)-01	5	145
1	ULA	2016	1	2016_Loc1	1	31	B73/PHW30-154 - (2n)-01	4	25
1	ULA	2016	1	2016_Loc1	1	32	Mo17/PHW30-292 - (2n)-01	5	123
1	ULA	2016	1	2016_Loc1	1	33	Mo17/PHW30-409 - (2n)-02	5	137
1	ULA	2016	1	2016_Loc1	1	34	Mo17/PHW30-248 - (2n)-02	5	113
1	ULA	2016	1	2016_Loc1	1	36	PHW30/Mo17-160 - (2n)-02	5	279
1	ULA	2016	1	2016_Loc1	2	5	PHW30/Mo17-095 - (2n)-02	5	255
1	ULA	2016	1	2016_Loc1	2	6	Mo17/PHW30-109 - (2n)-01	5	88
1	ULA	2016	1	2016_Loc1	2	7	PHW30/B73-289 - (2n)-02	4	191
1	ULA	2016	1	2016_Loc1	2	8	Mo17/PHW30-324 - (2n)-01	5	128
1	ULA	2016	1	2016_Loc1	2	9	PHW30/Mo17-099 - (2n)-02	5	257
1	ULA	2016	1	2016_Loc1	2	10	Mo17/PHW30-279 - (2n)-02	5	121
1	ULA	2016	1	2016_Loc1	2	11	Mo17/PHW30-332 - (2n)-02	5	131
1	ULA	2016	1	2016_Loc1	2	12	Mo17/PHW30-133 - (2n)-02	5	94
1	ULA	2016	1	2016_Loc1	2	13	PHW30/Mo17-187 - (2n)-01	5	288
1	ULA	2016	1	2016_Loc1	2	14	PHW30/B73-138 - (2n)-01	4	166
1	ULA	2016	1	2016_Loc1	2	15	PHW30/Mo17-299 - (2n)-01	5	306
